品名,最低价,平均价,最高价,产地,单位,发布日期
冬瓜,0.4,0.6,0.5,冀,斤,2021-10-25 00:00:00
毛冬瓜,1.0,1.5,1.25,冀,斤,2021-10-25 00:00:00
架豆,4.0,8.0,6.0,冀,斤,2021-10-25 00:00:00
豆王,3.5,6.5,5.0,云冀,斤,2021-10-25 00:00:00
扁豆,3.0,6.5,4.75,冀,斤,2021-10-25 00:00:00
豇豆,4.0,5.0,4.5,桂闽冀,斤,2021-10-25 00:00:00
白不老,3.0,7.0,5.0,辽冀,斤,2021-10-25 00:00:00
油豆,3.0,5.5,4.25,辽冀,斤,2021-10-25 00:00:00
毛豆,3.0,4.0,3.5,云,斤,2021-10-25 00:00:00
玉米,1.3,2.5,1.9,冀皖,斤,2021-10-25 00:00:00
花生,2.8,3.3,3.05,苏皖,斤,2021-10-25 00:00:00
苦瓜,5.0,5.5,5.25,冀鲁,斤,2021-10-25 00:00:00
丝瓜,3.5,5.5,4.5,冀豫鲁,斤,2021-10-25 00:00:00
西葫芦,2.2,2.6,2.4,冀,斤,2021-10-25 00:00:00
西葫芦,3.0,3.4,3.2,冀,斤,2021-10-25 00:00:00
佛手瓜,1.5,2.0,1.75,冀,斤,2021-10-25 00:00:00
贝贝南瓜,1.6,1.8,1.7,蒙,斤,2021-10-25 00:00:00
金丝南瓜,0.7,0.8,0.75,冀鲁,斤,2021-10-25 00:00:00
板栗南瓜,1.0,1.3,1.15,新蒙,斤,2021-10-25 00:00:00
南北瓜,0.6,0.8,0.7,川鄂皖浙,斤,2021-10-25 00:00:00
尖椒,2.0,3.5,2.75,辽冀鲁,斤,2021-10-25 00:00:00
红尖椒,3.5,5.5,4.5,鲁,斤,2021-10-25 00:00:00
美人椒,3.5,6.0,4.75,鲁云蒙,斤,2021-10-25 00:00:00
螺丝椒,2.2,4.0,3.1,鲁甘,斤,2021-10-25 00:00:00
柿子椒,2.0,3.5,2.75,鲁冀,斤,2021-10-25 00:00:00
柿饼,7.0,12.0,9.5,,斤,2021-10-25 00:00:00
磨盘柿子,1.5,1.7,1.6,,斤,2021-10-25 00:00:00
脆皮柿子,2.0,2.2,2.1,,斤,2021-10-25 00:00:00
甘蔗,1.3,1.5,1.4,,斤,2021-10-25 00:00:00
柠檬,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
石榴,2.0,5.0,3.5,四川,斤,2021-10-25 00:00:00
山楂,1.5,4.5,3.0,,斤,2021-10-25 00:00:00
姑娘果（灯笼果）,7.0,10.0,8.5,,斤,2021-10-25 00:00:00
123,1.5,2.0,1.75,,斤,2021-10-25 00:00:00
鸭梨,1.1,1.4,1.25,,斤,2021-10-25 00:00:00
雪花梨,1.1,1.4,1.25,,斤,2021-10-25 00:00:00
皇冠梨,1.6,2.0,1.8,,斤,2021-10-25 00:00:00
皇冠梨,1.3,1.7,1.5,,斤,2021-10-25 00:00:00
南果梨,1.5,3.5,2.5,,斤,2021-10-25 00:00:00
丰水梨,2.5,3.0,2.75,,斤,2021-10-25 00:00:00
广梨,1.5,3.0,2.25,,斤,2021-10-25 00:00:00
酥梨,1.5,1.8,1.65,,斤,2021-10-25 00:00:00
库尔勒香梨,3.0,4.0,3.5,,斤,2021-10-25 00:00:00
红香酥梨,1.3,1.6,1.45,,斤,2021-10-25 00:00:00
红啤梨,3.5,4.5,4.0,,斤,2021-10-25 00:00:00
木纳格,3.0,5.0,4.0,,斤,2021-10-25 00:00:00
